ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
101.81.133.jja,29-06-2017,00:00:00,0,1515671,0000940400-17-000412,#NAME?,200,6832,1,0,0,9,0,
101.81.133.jja,29-06-2017,00:00:00,0,1105685,0001209191-17-042148,#NAME?,200,9902,1,0,0,9,0,
101.81.77.ach,29-06-2017,00:00:00,0,104894,0001193125-10-215678,#NAME?,200,7857,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1305479,0000905148-06-007070,#NAME?,200,2944,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1336279,0001193125-07-254842,#NAME?,200,2845,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1353349,0001056404-06-002693,#NAME?,200,2665,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1353349,0001056404-06-002937,#NAME?,200,2665,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1336279,0001193125-07-214209,#NAME?,200,2840,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1353349,0001056404-06-003388,#NAME?,200,2666,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1305479,0000905148-07-000003,#NAME?,200,2940,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1353349,0001056404-07-001256,#NAME?,200,2658,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1390505,0001144204-07-008989,#NAME?,200,2779,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1353349,0001056404-06-004082,#NAME?,200,2668,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1353349,0001056404-07-000444,#NAME?,200,2670,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1305479,0000905148-07-000083,#NAME?,200,2855,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1390505,0001144204-07-009290,#NAME?,200,2713,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1336279,0001193125-07-257015,#NAME?,200,2875,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1390505,0001144204-07-009292,#NAME?,200,2709,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1336279,0001193125-07-233704,#NAME?,200,2830,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1336279,0001193125-07-193820,#NAME?,200,2842,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1390505,0001144204-07-009294,#NAME?,200,2667,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1353349,0001056404-07-000508,#NAME?,200,2688,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1305479,0000905148-06-006925,#NAME?,200,2853,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1353349,0001056404-06-003731,#NAME?,200,2668,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1394678,0001019965-08-000094,#NAME?,200,3399,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1305479,0000905148-07-000659,#NAME?,200,2857,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1305479,0000905148-07-000494,#NAME?,200,2851,1,0,0,10,0,
107.23.85.jfd,29-06-2017,00:00:00,0,1336279,0001193125-07-178698,#NAME?,200,2841,1,0,0,10,0,
108.54.237.aji,29-06-2017,00:00:00,0,894847,0001176256-13-000360,.txt,200,2533253,0,0,0,10,0,
114.247.115.gch,29-06-2017,00:00:00,0,1041668,0001144204-14-024147,#NAME?,200,73994,1,0,0,10,0,
115.111.60.idd,29-06-2017,00:00:00,0,702513,0001437749-17-004547,#NAME?,301,288,1,0,1,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1053092,0001047469-17-004295,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1053092,0001047469-17-004295,#NAME?,403,0,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1053092,0000950103-17-006175,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1465740,0001104659-17-042136,#NAME?,403,0,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1053092,0000950103-17-006170,#NAME?,403,0,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1053092,0000950103-17-006182,#NAME?,403,0,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,886982,0001193125-17-216848,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1053092,0000950103-17-006182,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1453687,0001638599-17-000660,#NAME?,403,0,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,886982,0001193125-17-216848,#NAME?,403,0,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1453687,0001638599-17-000660,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,886982,0001140361-17-026503,#NAME?,403,0,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1053092,0000950103-17-006170,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1488813,0000950159-17-000180,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,1053092,0000950103-17-006176,#NAME?,403,0,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,791915,0001209191-17-042157,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,72971,0001193125-17-216167,#NAME?,429,5434,1,0,0,10,0,
117.91.1.gjj,29-06-2017,00:00:00,0,791915,0001209191-17-042157,#NAME?,403,0,1,0,0,10,0,
